Team,Opponent Points,Opponent FG%,OPP_FG3_PCT,Opponent FT%,Opponent Rebounds,Opponent Assists,Opponent Turnovers
Atlanta Hawks,119.5,0.482,0.373,0.806,43.9,28.3,16.2
Boston Celtics,107.7,0.452,0.348,0.779,43.7,23.9,12.9
Brooklyn Nets,111.8,0.478,0.362,0.784,43.6,26.9,14.9
Charlotte Hornets,113.6,0.466,0.351,0.79,45.1,26.6,13.5
Chicago Bulls,120.0,0.47,0.346,0.788,46.2,29.1,12.6
Cleveland Cavaliers,112.3,0.454,0.361,0.777,43.5,25.6,14.5
Dallas Mavericks,115.1,0.469,0.363,0.779,45.3,27.1,13.4
Denver Nuggets,117.0,0.466,0.364,0.777,42.4,29.1,13.2
Detroit Pistons,113.1,0.461,0.366,0.775,42.1,24.7,15.2
Golden State Warriors,110.9,0.465,0.364,0.769,44.1,26.0,15.6
Houston Rockets,109.1,0.456,0.353,0.76,42.2,23.2,14.4
Indiana Pacers,115.3,0.475,0.357,0.777,44.7,26.2,14.9
Los Angeles Clippers,108.4,0.458,0.35,0.774,41.9,25.8,15.0
Los Angeles Lakers,112.2,0.463,0.353,0.782,43.1,27.4,13.6
Memphis Grizzlies,117.3,0.457,0.363,0.769,43.6,27.2,15.3
Miami Heat,109.9,0.465,0.359,0.777,44.6,26.5,13.8
Milwaukee Bucks,112.9,0.457,0.353,0.788,45.2,26.2,12.9
Minnesota Timberwolves,109.6,0.461,0.352,0.77,43.3,24.7,14.9
New Orleans Pelicans,118.8,0.481,0.364,0.785,45.8,28.8,14.2
New York Knicks,111.8,0.473,0.371,0.792,42.0,25.5,14.5
Oklahoma City Thunder,107.1,0.435,0.341,0.774,44.8,24.7,17.1
Orlando Magic,105.7,0.469,0.366,0.767,42.1,22.8,16.2
Philadelphia 76ers,115.7,0.489,0.378,0.798,45.3,28.4,16.1
Phoenix Suns,116.6,0.471,0.368,0.787,44.1,27.2,12.2
Portland Trail Blazers,114.3,0.473,0.362,0.799,44.0,26.2,15.2
Sacramento Kings,115.7,0.473,0.386,0.787,42.5,27.1,14.1
San Antonio Spurs,116.8,0.475,0.364,0.792,46.0,28.0,13.6
Toronto Raptors,115.3,0.465,0.35,0.775,44.7,26.0,14.8
Utah Jazz,120.1,0.476,0.356,0.768,43.8,29.3,11.8
Washington Wizards,120.9,0.473,0.367,0.793,48.6,28.6,13.5
